text,startTime,endTime
"1. Come, thou fount of ev’ry blessing,
",22.0,26.42
"tune my heart to sing thy grace.
",27.48,31.34
"Streams of mercy, never ceasing,
",32.82,37.38
"call for songs of loudest praise.
",38.24,41.96
"Teach me some melodious sonnet
",43.6,46.86
"sung by flaming tongues above.
",48.64,53.1
"Praise the mount, I’m fixed upon it,
",56.12,60.34
"mount of thy redeeming love.

",60.8,65.0
"2. Here I raise my Ebenezer,
",74.38,79.18
"hither by thy help I’m come;
",79.92,83.78
"And I hope, by thy good pleasure,
",84.98,89.22
"safely to arrive at home.
",89.92,94.0
"Jesus sought me when a stranger
",95.48,99.14
"Wand’ring from the fold of God.
",99.96,104.68
"He, to rescue me from danger
",108.08,112.32
"interposed His precious blood.

",113.4,117.22
"3. Oh to grace, how great a debtor
",122.72,139.1
"daily I’m constrained to be.
",139.6,143.42
"Let thy goodness like a fetter,
",144.36,148.76
"bind my wand’ring heart to thee.
",149.3,153.04
"Prone to wander, Lord, I feel it;
",154.1,158.42
"prone to leave the God I love;
",158.98,165.9
"Here’s my heart, O take and seal it,
",169.14,173.98
"seal it for thy courts above.
",174.98,178.1
"Seal it for thy courts above.
",180.42,184.68
"Here’s my heart, O take and seal it,
",194.86,200.3
seal it for thy courts above.,201.26,210.06
